subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010019,ep00,7,2,1194
sub-010019,ep00,8,2,1207
sub-010019,ep00,10,2,1200
sub-010019,ep00,20,2,1252
sub-010019,ep00,30,2,1326
sub-010019,ep00,50,2,1264
sub-010019,ep00,100,0,1490
sub-010019,ep00,150,0,1490
sub-010019,ep00,200,0,1490
sub-010019,ep01,3,2,74
sub-010019,ep01,5,2,407
sub-010019,ep01,7,2,471
sub-010019,ep01,8,3,1296
sub-010019,ep01,10,2,1233
sub-010019,ep01,20,2,1339
sub-010019,ep01,30,2,1329
sub-010019,ep01,50,0,1482
sub-010019,ep01,100,0,1482
sub-010019,ep01,150,0,1482
sub-010019,ep01,200,0,1482
sub-010019,ep02,3,2,221
sub-010019,ep02,5,2,885
sub-010019,ep02,7,2,1309
sub-010019,ep02,8,3,1373
sub-010019,ep02,10,2,1368
sub-010019,ep02,20,2,1290
sub-010019,ep02,30,2,1269
sub-010019,ep02,50,2,1250
sub-010019,ep02,100,0,1483
sub-010019,ep02,150,0,1483
sub-010019,ep02,200,0,1483
sub-010019,ep03,3,2,178
sub-010019,ep03,5,3,987
sub-010019,ep03,7,2,1252
sub-010019,ep03,8,2,1263
sub-010019,ep03,10,2,1389
sub-010019,ep03,20,2,1393
sub-010019,ep03,30,0,1467
sub-010019,ep03,50,0,1467
sub-010019,ep03,100,0,1467
sub-010019,ep03,150,0,1467
sub-010019,ep03,200,0,1467
sub-010019,ep04,3,2,185
sub-010019,ep04,5,2,482
sub-010019,ep04,7,2,517
sub-010019,ep04,8,4,1289
sub-010019,ep04,10,2,1299
sub-010019,ep04,20,2,1342
